state,month,lockdown_period,avg_severity
IA,11,after_lockdown,0.9017517136329017
ID,7,after_lockdown,1.2131461391193363
KY,11,before_lockdown,1.2805731046931408
LA,1,before_lockdown,1.2588843420202456
MA,6,after_lockdown,1.0819169685149066
MD,7,after_lockdown,1.27269800386349
ME,4,after_lockdown,0.9856230031948882
MN,2,after_lockdown,0.6147598870056498
MN,5,after_lockdown,0.9072969251950436
MO,9,after_lockdown,1.1235422020162087
MS,3,after_lockdown,0.896442001735609
MT,2,before_lockdown,1.7091810997141417
MT,8,after_lockdown,1.2900243309002433
ND,10,before_lockdown,1.1540600667408232
NE,3,after_lockdown,0.9241573033707865
NE,10,after_lockdown,1.0901328273244781
NE,10,before_lockdown,1.354732350659426
NH,2,before_lockdown,1.3852494577006507
NV,2,before_lockdown,1.4901425178147267
NY,7,after_lockdown,0.9570120255060556
NY,10,before_lockdown,0.9218781195316446
OH,6,after_lockdown,1.0768531740880176
OH,6,before_lockdown,1.3160478674440013
OH,8,before_lockdown,1.2503976459360586
OK,10,before_lockdown,1.1591124597003604
OR,2,after_lockdown,1.0422832980972516
PA,6,after_lockdown,1.2842384286005573
RI,11,before_lockdown,1.321007720438846
SC,11,before_lockdown,1.1706392199349946
SD,3,after_lockdown,1.0252100840336134
SD,3,before_lockdown,1.6077113547930668
SD,6,after_lockdown,1.025563909774436
TN,8,after_lockdown,1.1090941930822722
TX,12,before_lockdown,0.9610641197472602
VA,8,after_lockdown,1.2454653506278746
VT,4,after_lockdown,1.224890829694323
WA,2,before_lockdown,1.3086780814633627
WA,8,after_lockdown,1.2133129415191901
WV,2,after_lockdown,1.1287596321153368
WY,5,before_lockdown,1.4240170031880979
WY,11,after_lockdown,1.4049180327868853
WY,11,before_lockdown,1.3374861572535992
AL,3,after_lockdown,0.9683976054573298
AR,8,after_lockdown,1.1206896551724137
AR,10,after_lockdown,1.2985807860262009
