state,month,year,lockdown_period,avg_congestion
WY,8,2021,after_lockdown,1.5379213483146068
WY,9,2018,before_lockdown,1.736420302760463
WY,10,2020,after_lockdown,1.5004198152812762
WY,11,2020,after_lockdown,1.5907928388746804
AL,1,2018,before_lockdown,1.3785187209620116
AZ,6,2019,before_lockdown,0.9580427322041404
AZ,10,2018,before_lockdown,1.0055394176856043
CO,9,2021,after_lockdown,1.2934097421203439
DE,6,2018,before_lockdown,1.2144166157605376
DE,7,2020,after_lockdown,0.9048951048951049
DE,10,2019,before_lockdown,0.7624481327800829
DE,12,2021,after_lockdown,1.2723112128146452
GA,1,2019,before_lockdown,0.9650422262217915
IA,2,2019,before_lockdown,1.4370310281890084
IA,2,2021,after_lockdown,1.2615311459819305
IA,6,2019,before_lockdown,1.035294117647059
IA,10,2019,before_lockdown,0.915015243902439
ID,3,2021,after_lockdown,1.0260416666666667
ID,5,2021,after_lockdown,0.9218967921896792
ID,6,2021,after_lockdown,1.2904040404040404
IL,11,2019,before_lockdown,0.7105938578635278
IN,1,2020,after_lockdown,0.8746654772524531
IN,2,2021,after_lockdown,0.838554795342696
KS,8,2020,after_lockdown,0.967444384156267
KY,6,2018,before_lockdown,1.63679880329095
LA,8,2020,after_lockdown,0.6443213296398892
LA,11,2020,after_lockdown,0.726293408929837
MA,9,2020,after_lockdown,0.8144242218064297
MD,10,2020,after_lockdown,0.7722136792137461
ME,4,2020,after_lockdown,0.988622754491018
ME,5,2019,before_lockdown,1.4782923299565847
MI,5,2018,before_lockdown,1.2560503667764107
MI,5,2021,after_lockdown,1.26370808678501
MN,5,2020,after_lockdown,0.8719714358581995
MS,12,2019,before_lockdown,0.8680981595092024
MT,5,2018,before_lockdown,1.8571428571428572
MT,12,2019,before_lockdown,1.397489539748954
NC,1,2019,before_lockdown,1.118615962856511
NC,9,2019,before_lockdown,0.9405504029192641
NC,10,2020,after_lockdown,1.1372089127156977
NC,12,2018,before_lockdown,1.2178407824687385
ND,4,2020,after_lockdown,0.7663197729422895
ND,8,2019,before_lockdown,1.097879282218597
NH,4,2021,after_lockdown,0.9060150375939849
NH,5,2019,before_lockdown,1.1862582781456954
NH,6,2019,before_lockdown,1.0781563126252505
NJ,10,2019,before_lockdown,0.8475814073374002
NM,6,2021,after_lockdown,1.0467625899280575
NM,7,2019,before_lockdown,1.1670258620689655
NV,6,2019,before_lockdown,1.4314410480349344
NV,7,2021,after_lockdown,1.3133116883116882
NV,10,2018,before_lockdown,1.743276283618582
OH,6,2019,before_lockdown,1.0750771945302162
OR,10,2018,before_lockdown,1.4297441998810232
OR,12,2017,before_lockdown,1.75
PA,1,2019,before_lockdown,1.0808869400923302
